,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
 Canada ,0.56,0.51,0.63,0.53,0.61,0.61,0.56,0.67,0.36,0.36,0.24,0.23,0.22,0.26,0.22,0.19,0.22,0.23,0.22,0.21,0.17,0.19,0.17
 Mexico ,0.11,0.17,0.21,0.12,0.21,0.22,0.16,0.13,0.18,0.22,0.21,0.22,0.20,0.22,0.23,0.21,0.34,0.22,0.20,0.24,0.13,0.05,0.05
 US ,0.56,0.51,0.70,0.85,0.84,1.00,0.96,0.93,0.57,0.51,0.36,0.27,0.24,0.28,0.28,0.25,0.19,0.27,0.24,0.17,0.15,0.14,0.16
 S. & Cent. America ,0.51,0.51,0.60,0.65,0.62,0.63,0.71,0.99,0.67,0.85,0.99,0.88,1.06,1.06,1.00,1.06,1.23,0.88,1.06,1.12,1.04,1.29,1.07
 Europe ,4.74,4.68,5.46,5.70,5.95,6.26,6.77,6.20,5.01,4.82,5.63,6.09,5.85,6.09,6.03,5.40,5.86,6.09,5.85,5.10,3.91,4.43,4.87
 CIS ,0.60,0.46,0.55,0.50,0.50,0.56,0.52,0.68,0.52,0.37,0.59,0.53,0.56,0.56,0.53,0.48,0.60,0.53,0.56,0.70,0.66,0.64,0.49
 Middle East ,0.48,0.34,0.34,0.43,0.33,0.26,0.35,0.53,0.40,0.35,0.43,0.49,0.44,0.49,0.38,0.34,0.37,0.49,0.44,0.32,0.36,0.33,0.22
 Africa ,0.32,0.30,0.94,0.28,0.37,0.34,0.40,0.34,0.26,0.32,0.34,0.31,0.81,0.37,0.44,0.50,0.63,0.31,0.81,0.92,0.53,0.71,0.73
 China ,0.07,0.28,0.29,0.49,0.67,0.96,1.28,1.04,3.28,4.45,5.20,6.71,7.63,6.62,4.69,5.65,5.87,6.71,7.63,6.40,6.61,6.67,5.83
 India ,0.50,0.53,0.54,0.55,0.94,1.00,1.28,1.41,1.80,2.00,2.37,3.09,3.66,4.65,4.92,6.46,5.25,3.09,3.66,4.70,4.79,4.69,5.01
 Japan ,4.19,4.26,4.49,4.84,4.83,4.70,4.94,5.03,4.22,4.84,4.61,4.87,5.06,5.00,5.05,5.01,5.06,4.87,5.06,4.90,4.56,4.84,4.82
 South Korea ,1.79,1.87,1.91,2.10,2.03,2.10,2.33,2.64,2.69,3.11,3.38,3.30,3.32,3.43,3.54,3.53,3.89,3.30,3.32,3.73,3.28,3.35,3.34
 Other Asia Pacific ,1.90,2.33,2.10,1.42,2.59,2.80,3.01,2.98,2.79,3.18,3.29,3.65,3.61,2.73,3.96,4.60,5.00,3.65,3.61,5.26,6.39,6.33,5.72